"product_id;product_name;product_category;brand;package_quantity;package_unit;price;"
currency
"P001;lapte zuzu;lactate;Zuzu;1;l;10.10;RON"
"P003;iaurt grecesc;lactate;Olympus;0.4;kg;11.80;RON"
"P006;ouã mãrimea M;ouã;Ferma Veche;10;buc;13.50;RON"
"P009;brânzã telemea;lactate;Hochland;0.3;kg;13.10;RON"
"P012;pâine albã;panifica?ie;K-Classic;500;g;3.60;RON"
"P015;ro?ii cherry;legume ?i fructe;K-Bio;250;g;7.00;RON"
"P018;piept pui;carne;Agricola;1;kg;27.90;RON"
"P020;spaghetti nr.5;paste fãinoase;Barilla;500;g;5.90;RON"
"P022;zahãr tos;alimente de bazã;Mãrgãritar;1;kg;4.50;RON"
"P025;apã platã;bãuturi;Dorna;2;l;5.30;RON"
"P027;banane;legume ?i fructe;Generic;1;kg;6.20;RON"
"P029;ulei floarea-soarelui;alimente de bazã;Floriol;1;l;9.50;RON"
"P032;biscui?i cu unt;gustãri;Milka;0.2;kg;7.50;RON"
"P035;cafea mãcinatã;cafea;Jacobs;0.25;kg;23.00;RON"
"P038;detergent lichid;produse de menaj;Ariel;2.5;l;50.50;RON"
"P041;?ampon pãr gras;îngrijire personalã;Elseve;400;ml;18.00;RON"
"P044;hârtie igienicã 3 straturi;produse de menaj;Pufina;10;role;19.20;RON"
"P047;piper negru mãcinat;condimente;Fuchs;50;g;6.10;RON"
"P050;vin alb demisec;bãuturi;Recas;0.75;l;24.00;RON"
"P053;ciocolatã neagrã 70%;gustãri;Heidi;100;g;4.10;RON"
"P056;cartofi albi;legume ?i fructe;Generic;1;kg;3.20;RON"
"P058;ceapã galbenã;legume ?i fructe;Generic;1;kg;2.90;RON"
"P059;morcovi;legume ?i fructe;Generic;0.5;kg;2.50;RON"
"P060;suc portocale;bãuturi;Cappy;1;l;7.80;RON"
"P062;ca?caval;lactate;Delaco;0.25;kg;15.00;RON"
