"product_id;product_name;brand;package_quantity;package_unit;product_category;from"
"_date;to_date;percentage_of_discount"
"P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-01;2025-05-07;10"
"P008;brânzã telemea;Pilos;0.3;kg;lactate;2025-05-01;2025-05-07;15"
"P020;spaghetti nr.5;Barilla;500;g;paste fãinoase;2025-05-03;2025-05-09;20"
"P034;cafea mãcinatã;Davidoff;0.25;kg;cafea;2025-05-04;2025-05-10;12"
"P011;pâine albã;Lidl;500;g;panifica?ie;2025-05-02;2025-05-08;5"
"P014;ro?ii cherry;Lidl;250;g;legume ?i fructe;2025-05-02;2025-05-08;8"
"P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-06;2025-05-12;25"
"P040;?ampon pãr gras;Head & Shoulders;400;ml;îngrijire personalã;2025-05-05;2025-05-"
"11;15"
"P049;vin alb demisec;Jidvei;0.75;l;bãuturi;2025-05-01;2025-05-07;10"
"P052;ciocolatã neagrã 70%;Fin Carre;100;g;gustãri;2025-05-03;2025-05-09;18"
"P024;apã platã;Aqua Carpatica;2;l;bãuturi;2025-05-01;2025-05-07;5"
"P005;ouã mãrimea M;Lidl;10;buc;ouã;2025-05-04;2025-05-10;7"
"P017;piept pui;Lidl;1;kg;carne;2025-05-02;2025-05-08;6"
"P028;ulei floarea-soarelui;Bunica;1;l;alimente de bazã;2025-05-05;2025-05-11;10"
"P046;piper negru mãcinat;Kotanyi;50;g;condimente;2025-05-06;2025-05-12;12"
"P031;biscui?i cu unt;Deluxe;0.2;kg;gustãri;2025-05-04;2025-05-10;9"
"P043;hârtie igienicã 3 straturi;Zewa;10;role;produse de menaj;2025-05-03;2025-05-"
"09;14"
"P026;banane;Lidl;1;kg;legume ?i fructe;2025-05-06;2025-05-12;6"
"P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-05;2025-05-11;11"
"P014;ro?ii cherry;Lidl;250;g;legume ?i fructe;2025-05-06;2025-05-12;5"
